scenario,go,go,go,go,go,go,go,wait,wait,wait,wait,wait,wait,wait
line_volume_limit,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP
year,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050
group,,,,,,,,,,,,,,
offwind,0.242,0.963,1.444,5.03,11.723,16.994,11.48,0.242,0.54,0.839,9.444,7.703,5.93,5.526
onwind,0.05,0.176,0.836,0.553,1.243,1.795,1.045,0.05,0.092,0.856,0.91,0.74,0.429,0.295
ror,0.021,0.02,0.156,0.236,0.716,0.925,0.186,0.021,0.029,0.109,0.374,0.257,0.215,0.191
solar,0.048,0.119,1.267,1.841,2.429,2.671,2.164,0.048,0.032,1.328,1.902,2.017,1.935,1.9
