scenario,go,go,go,go,go,go,go,wait,wait,wait,wait,wait,wait,wait
line_volume_limit,opt,opt,opt,opt,opt,opt,opt,opt,opt,opt,opt,opt,opt,opt
year,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050
group,,,,,,,,,,,,,,
offwind,0.23,2.101,2.301,7.242,15.865,13.643,10.799,0.23,0.796,1.491,15.732,6.594,6.833,7.317
onwind,0.045,0.121,1.41,0.688,0.526,0.974,0.78,0.045,0.048,1.282,0.506,0.173,0.183,0.19
ror,0.017,0.024,0.161,0.08,0.543,0.339,0.163,0.017,0.021,0.126,0.258,0.063,0.066,0.066
solar,0.039,0.054,0.988,1.88,1.534,1.97,1.823,0.039,0.027,0.813,1.345,1.614,1.69,1.63
