scenario,go,go,go,go,go,go,go,wait,wait,wait,wait,wait,wait,wait
line_volume_limit,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP
year,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050
group,,,,,,,,,,,,,,
offwind,0.222,1.929,1.956,10.318,21.524,17.481,13.792,0.222,0.832,1.411,21.402,11.511,11.714,12.037
onwind,0.036,0.176,1.515,1.273,1.056,2.265,2.579,0.036,0.078,1.283,1.126,0.688,1.136,1.21
ror,0.016,0.031,0.16,0.261,0.8,0.76,0.243,0.016,0.025,0.128,0.497,0.163,0.143,0.176
solar,0.034,0.089,1.079,1.583,2.568,2.518,2.305,0.034,0.035,0.788,2.045,2.287,2.325,2.286
