country,AT,BA,BE,BG,CH,CZ,DE,DK,EE,ES,FI,FR,GB,GR,HR,HU,IE,IT,LT,LU,LV,NL,NO,PL,PT,RO,RS,SE,SI,SK,AT,BA,BE,BG,CH,CZ,DE,DK,EE,ES,FI,FR,GB,GR,HR,HU,IE,IT,LT,LU,LV,NL,NO,PL,PT,RO,RS,SE,SI,SK,AT,BA,BE,BG,CH,CZ,DE,DK,EE,ES,FI,FR,GB,GR,HR,HU,IE,IT,LT,LU,LV,NL,NO,PL,PT,RO,RS,SE,SI,SK,AT,BA,BE,BG,CH,CZ,DE,DK,EE,ES,FI,FR,GB,GR,HR,HU,IE,IT,LT,LU,LV,NL,NO,PL,PT,RO,RS,SE,SI,SK,AT,BA,BE,BG,CH,CZ,DE,DK,EE,ES,FI,FR,GB,GR,HR,HU,IE,IT,LT,LU,LV,NL,NO,PL,PT,RO,RS,SE,SI,SK,AT,BA,BE,BG,CH,CZ,DE,DK,EE,ES,FI,FR,GB,GR,HR,HU,IE,IT,LT,LU,LV,NL,NO,PL,PT,RO,RS,SE,SI,SK,AT,BA,BE,BG,CH,CZ,DE,DK,EE,ES,FI,FR,GB,GR,HR,HU,IE,IT,LT,LU,LV,NL,NO,PL,PT,RO,RS,SE,SI,SK
year,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2045,2045,2045,2045,2045,2045,2045,2045,2045,2045,2045,2045,2045,2045,2045,2045,2045,2045,2045,2045,2045,2045,2045,2045,2045,2045,2045,2045,2045,2045,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050
gas boiler,43.591400293772836,6.967723802746882,70.40532274412635,7.008960651568338,45.35119812410128,55.44114598594976,586.7358658869463,19.002877521745575,1.9887387378406542,19.773042806235953,9.513168475774147,53.02559150457939,363.39264596390643,3.911392313912379,16.332004997594353,56.730038158418594,32.04466503992209,16.787818661825366,10.299640095971851,7.3470223075320265,13.493076826978774,76.33311268845956,8.737630413003297,159.32041804827517,0.5782941153316542,44.33066503301963,7.429252877189917,0.2074447363797123,6.154977864301024,20.65401592379081,41.15819275597807,6.5075428520923815,65.92547170557991,8.044590948550072,41.43505954770709,48.165104535039276,554.3068825603606,17.52956153903401,2.2312023524750293,22.799063140655626,10.099653062122304,71.17969347808987,290.4072657051778,7.36472962128964,15.100311079384701,51.80991256909115,25.104661611271574,35.89685618976944,10.561002633829585,6.633854535366891,12.839290032901477,67.65596110317057,11.877368975274218,154.58008733784854,1.8569705375608125,39.24118017760515,6.304420735990754,0.020910842193852308,5.83734476998994,18.711261562026703,39.23325120635328,5.683392691828732,53.396476459646195,8.904049818539182,37.68186153976023,45.64543430413933,501.8140946647927,14.29925967121909,1.9743398270825538,32.58120139663029,15.101680428855914,75.14760322296445,199.40891240048427,10.71904927547145,12.741246212244505,45.844844852053434,16.381378644957323,52.72166476610607,9.468171776757725,5.932224531755081,9.585317957554773,60.64432775159291,11.787139780546545,148.5877437484071,2.555909781979098,34.23202913072477,5.219407472744459,0.0019437296842200603,4.994871437377693,19.88991257659041,36.473675244305966,5.01626144196097,34.45451662598821,9.316088984197847,30.913430339833784,41.55581866487377,361.3904508668536,8.659503970066277,1.361673459923948,34.81079625561968,10.269054871756806,67.49104082170159,132.7599706745527,13.114544747708118,11.646586502160654,44.83064269107416,10.326623629525537,57.287459619379604,4.816985004797201,4.091864953408497,5.193999027697313,41.24012922462906,4.5749644258472895,115.91911330724302,2.8909487819871704,33.709900173730304,5.045326868993214,0.007891550563890489,4.388692165458534,19.14877249977024,24.83911779860513,4.126615012570808,18.31438126157084,6.1702149314023975,18.946065761164004,18.75439723498287,168.851514908133,1.844761653577596,0.3722598512039395,21.448896896813192,3.163117382715608,43.43020842109511,67.03038630475105,8.980638400523233,8.32307572737587,25.087783157942013,4.961197284894521,38.9543647400134,1.8429842930139264,1.6701649010249422,1.9662138581718318,23.51377283113511,0.004480819415358613,46.55522971769371,1.673176657317742,24.135498350770128,3.411625168016801,0.0012309788052857588,3.3069709241028478,10.047840115325899,9.692553373114217,2.4624733457716625,5.948394276849276,3.4053906511775303,8.47135306488692,7.332524249969164,93.99551062199635,0.7209333666581884,0.21681908411381612,14.479840148764662,1.1579227438586281,26.661240373674154,29.273089358200053,6.09611623447852,4.136118790972061,10.882460504978694,1.8874437589421338,20.026686776696774,1.0388943320320596,0.8246108633714958,1.1030052459968083,8.38920955227796,0.18879223238454904,25.067386252064885,1.0490109423778604,11.151870119785285,1.928607585070102,0.0357513427436401,1.8253758691327922,3.888966616008628,4.199066442006798,1.4700322905198497,2.830288331023344,2.751144345287125,4.403820881871672,4.53963752831069,33.93139726417767,0.07548169497316326,0.011710356508332895,11.93258654846956,0.050105306562200254,12.420517448224553,8.463140554723068,4.972285888837944,2.475458279244125,4.861793801259412,0.7934197538571579,14.948039221357659,0.4886059219285682,0.28721111788406983,0.4327629389828348,4.252068014572733,0.025944379580090805,13.325415431470146,0.853315716951902,7.023895632240938,1.118899314943689,0.008573164469766572,1.1466268318965305,2.4918317455407437
CHP heat,0.052251342001593176,0.5772403134213254,8.678357042539936,0.0,0.0492303859832795,6.540021980097558,39.73086227126495,0.8696208783886511,2.35483989747186,0.0,15.739584595979425,17.18364464281751,40.09220711045095,0.0,1.7118637479796615,4.012721385912873,1.8972008078251015,0.0,5.056251788772658,0.746234807172583,2.1922997733058804,0.1583660075486922,0.05151852531254201,45.72988652495185,0.0,10.426144846734193,6.477716261087014,0.018583378876696952,0.23855674278427455,8.71295138519132,0.07295651994939448,1.2026065525132454,12.610746018928392,0.0,0.07595975589791186,14.247366748716681,34.259462976732095,0.7418718109754702,1.7987661857424542,0.0,13.563873166841857,19.13562002030881,32.136957451390636,0.0,3.121259514424433,9.549211155221634,1.5152338990043919,0.0,4.412179667324017,1.4780758930098639,1.7344671644931924,0.1772410750813496,0.04855734073284425,49.23496427256134,0.0,15.855855647011293,8.130182707804941,0.015490587956998444,0.5578948029804401,10.70446679514218,0.09385534323385274,2.103466148344336,8.66887509330484,0.0,1.5166250354967556,16.84295796340673,45.33376758402505,0.5448603646460544,1.385537510624085,0.0,9.83835552111937,24.634842525847215,28.476093166133328,0.0,5.430409246018145,15.408728759759756,1.2920002033102727,0.0,2.4551660984420054,1.9135344605772382,1.0659540592984387,0.16835429818695644,0.036858573706385275,33.47104570349014,0.0,21.087391012296155,9.318157929215289,0.010134293453864488,1.6407192989587949,9.205129460662825,2.0142690307602593,2.92035060618508,6.3212353981947,0.0,9.104265423323813,13.909573787856772,33.54567422209796,0.4335186149988202,0.8677167091097346,0.0,6.337897279049678,19.527436166961436,23.8578025696257,0.0,6.473017701499858,13.381982279026118,0.9241566882758002,0.0,1.4408113458757843,1.394947266788336,0.5716196234872604,0.15013093207602157,0.030394545472903108,19.64656141937243,0.0,21.467798402521844,10.099110568015714,0.01024082961125168,2.2490696637144154,6.384129837966994,1.114436289308442,1.7010319146462023,2.79001521641605,0.0,3.6137105827727605,4.008133665199565,12.601314642430433,0.16891091553938511,0.33529665722418056,0.0,2.289119080343617,8.814379855465006,10.630824418012569,0.0,3.3037751776263056,6.017002263988144,0.38078465230353115,0.0,0.5662893200982899,0.5281349005781556,0.23019799254662834,0.06503034274224767,0.00963910984781882,7.758206689721332,0.0,10.33666945675362,6.066565721818421,0.0029928443212316734,1.2181807009304546,2.0768459950962495,0.35932576639767655,0.6962623358730067,1.760012466328883,0.0,1.631565270491726,1.8968649715756993,7.877623187445811,0.10846337947289406,0.15212388365793544,0.0,0.9459207484518781,5.560367200990364,5.865005150542502,0.0,1.3319811894981555,1.9278288039400804,0.17398994297524983,0.0,0.23658334668203132,0.3091963995574575,0.09554176268034797,0.03792094148881311,0.011382836329313565,4.3136596351659655,0.0,3.21902516988035,2.4053909714159816,0.004995471956882218,0.4335023920626836,0.549158137690002,0.181244250989528,0.2448021853565446,1.0137186088881778,0.0,1.015826290428376,0.9852346489323801,3.81643262365738,0.05215716535097056,0.0631105533712484,0.0,0.49391608986401153,2.687842304955013,2.77963319760535,0.0,0.4488439143532544,0.7791409958361798,0.08177916985239998,0.0,0.11670392674337349,0.23014790952364628,0.04569129931008894,0.026173362978403957,0.007016541019955717,2.105598289167294,0.0,1.3497979335488157,0.9698768877951978,0.0052186229027393555,0.18248928609255133,0.33583426096593866
resistive heater,0.013585995620147525,0.07777671356034219,0.022120825296420808,0.22018814230722836,0.21968226423256298,0.40095165338598365,0.026876818273279424,7.104965571890807,0.05799973263968099,0.019332768860055034,0.13175566116193943,0.012412745599275535,15.80406542368112,0.019853043853879593,0.0192021985558652,0.15028424446329042,0.8669310159192456,0.014389328093269588,0.08852801971338956,0.04770269259707787,0.25202326037557393,0.05455217081149636,0.37648624863720764,0.3501443387858902,0.023334837437092967,0.22782094471878658,0.07307095958513787,0.0401662005683609,0.0768712734078247,0.08600119359016233,0.014589876092581621,0.04727454421425778,0.9580573906885527,0.10497962724687615,0.053074163223339306,0.1376030650876866,27.347323539991134,10.973766785836167,0.3334426668882865,1.0572584178981252,2.143611265116746,4.316687754222447,77.51755283527444,0.12336352917520381,0.014150138126931592,0.022381841127881642,7.019712899347925,0.029460579403031147,0.3855518453049417,0.027113849289990676,1.161788139638925,5.770671685454641,0.10208337613623683,1.593089152848396,0.2011091953890162,0.12910721493727936,0.04729785895515677,0.15805815349602556,0.04246820607646225,0.07594210385915924,0.010833328936282593,0.06731658595480493,2.761129416948257,0.43569774278963785,0.7955654817762414,0.6562066938421129,62.8307162663576,12.956293319735863,1.2446637516276928,3.4598808761881745,4.831971750054283,29.319467799289303,141.01100519671152,0.9122482011948095,0.06642096767312124,0.0866268043640203,11.279791712685999,1.9859935142537182,1.616728573645566,0.09815603050264399,3.3451259452200115,13.847648157084185,1.2685231682361788,7.184429209817331,0.85631836984979,0.2234185794648543,0.03587803707646207,0.43355619166894277,0.060582056260507944,0.1615343797825471,0.08240893665998252,0.11503207279304359,8.802919270175018,0.8451589252825678,1.30370640890867,2.317961583206521,107.34730652221343,23.043760525694623,2.744697365311347,6.1076841468804846,15.69057590886004,50.52593621151527,178.4490850186767,1.735377236106937,0.3623466301067061,0.6180424408558545,15.949987221855697,3.1995680078916937,6.091345970876499,0.3104517789357268,6.752475857461561,19.576890325586927,16.979311846873617,26.502449649556752,1.5379591025684047,1.1063388937903174,0.08377391525851244,1.1874687053806254,0.21668067387252177,0.7116555231423229,1.2916074313959047,0.20102455233012914,11.48085775016289,0.5467664026646147,4.310691599008487,4.002457206324379,104.0421756174936,35.19993370325338,3.544966697048796,5.466285466167285,23.205396209406942,54.14709537038275,160.7792917527455,1.2723704774474445,0.44712037639692775,1.1464516637264874,14.96196492716822,2.3549717377079262,10.115437058061033,0.6675521074974804,10.414108494325955,19.6649324028019,32.48400854319415,48.000935610196,1.3729275253735236,2.1201885433401704,0.13386322193688543,1.385146795393829,0.34687505602730573,0.9558658210703708,1.427269476110553,0.2600536729122172,13.31107112623152,0.5629369363113406,4.317293353389194,4.737566338528517,89.90025614890874,37.583690828310765,4.459106295034333,4.723873133198613,32.6167365757946,48.68510464527777,123.59645087642959,1.407878845061048,0.48129715770836573,1.3209167705173397,19.883297559021383,1.8231057275467002,11.175183205911893,0.6456615242894835,11.726207481004984,21.817756477899295,42.61459071706535,61.65204317189676,1.2136172217904722,1.6765487346076875,0.1806386041811418,1.2765878874054275,0.3780751672272537,1.6165183242993393,2.8319552885361876,0.4240003469359526,15.425397538565894,0.9415401152537994,3.6485855965983243,4.956652905517273,99.38258600879085,40.911564069351556,5.035682815963136,7.357084526718275,38.50081723347816,50.35028422333444,126.10535220921848,2.5174063018034643,0.6406395074663481,1.4974776742675047,22.146634260782925,5.008043762362653,11.981354042905295,0.7884682538681769,12.642312094730174,29.82594313081607,49.75246224843425,68.26846718485774,1.6139804953670709,2.0284097408290265,0.22390279655198525,2.796901900587263,0.5178361043293089,2.2300393661275653
heat pump,34.36546971845704,6.7285450062360335,32.30507386270908,15.970707649514752,37.82408343216332,17.117656830205036,193.37854389921563,27.39884665217638,6.856933391382143,136.69632049476314,46.11171734231852,413.9858262266871,29.23993811985634,36.43113821666199,8.540720646351177,10.78528111028886,1.594457954845471,211.97738714203598,0.7475872865827726,0.3168875146089534,0.06350556963661949,62.93931479992287,59.52905982376411,30.62344782659576,19.685175480384455,17.285507299099404,14.775566689766057,86.39916288619592,6.8590331150086605,4.216757813293098,36.66132184712808,6.594123955298668,32.13332711934687,15.028452923615118,41.76628765914295,17.057196659584022,204.28393830340605,25.475498554848024,6.908271215289101,132.78897331567666,45.715922899618526,390.07582389892616,48.69074934704519,32.93157280593918,8.385460215913396,10.475493630696898,2.7881617700572967,193.0110092853122,0.8232893269052761,0.33765211982924354,0.2713278543535923,66.14116507726231,56.72493514053311,30.449752106443153,18.258666395248984,16.947104443427914,14.199794056249274,87.17159257489944,6.867829557084033,4.198139471686561,39.14980513176058,6.497773209246755,47.41062887147622,14.004358944411395,43.70790954670475,16.452600500896814,212.29164549894261,27.23590489939181,6.633981263100975,127.06160948150415,41.803345133372574,358.969881445925,86.2002042377389,30.059536789166817,8.464491588994564,10.409882569559844,7.839155244920573,176.62264290587578,2.5715886727565542,0.5168207050772743,2.0097705730292743,65.80633779755631,55.872076944006004,46.55970428896445,18.097346463968577,16.699471675002926,14.155959934260611,87.8220328176516,6.616407065779901,4.278334910428441,40.310479829791916,6.405738430175367,64.35048561495995,13.972022839925216,42.715360520988554,22.096138537829912,327.6872230293732,24.78172196194365,6.484063590594914,129.18628320499133,40.26241417769926,365.1681016681005,129.80396220603984,28.663330566265238,8.460645567952477,13.168249630689987,10.356575974099458,183.89492502648076,4.078877636303581,2.7347083744854497,3.8506421276708207,81.45333771867122,49.01335492106532,75.05266177827737,18.517319315941766,16.520869447439615,13.86204770763843,88.46533740519038,6.543324061586588,7.423464248972386,52.561249955377484,8.555751075666882,83.90285373186148,17.810794774181023,58.43251219518094,54.74441391940673,564.0525392404519,22.92880787207886,7.545601374557601,147.61791689946938,46.492885854205326,406.59798660268444,236.28287380997884,34.09129209378202,15.185155668048006,40.93749860348573,17.97980356889222,206.93548412737425,5.015282358245499,5.852347095467384,4.704795339576954,101.86296950071427,41.28932837774574,141.0136952384424,20.449767477578114,37.014780369923486,19.618729146276113,89.5187887774695,8.643808290028486,21.136348684437372,69.83958872637984,11.453160024996533,99.84727519718338,21.023605683186116,72.41658880267764,69.04286219084942,671.3454050909534,22.771844498642967,7.333249895923238,157.02881587801318,42.65668241983988,441.52966088996305,324.25077744291235,37.3815532752514,22.151034047568245,62.549549378676446,17.563153726541117,228.39947860154663,5.617689102634609,7.19404313971257,4.86742582370018,119.7942956852971,33.26962215785368,158.04538373704042,21.483758905081146,59.84595870867777,25.426656203855483,89.96145778140033,11.233125928126483,29.02617862672433,75.07660672637239,13.063442336736637,105.43806502588096,21.849216929221342,78.60656725694868,73.45869425496029,754.5331586867624,20.70684714489742,7.191862946481646,159.82123591011214,38.75096106571978,481.62502829445106,350.65135096757535,38.566816760976614,25.37935926394645,72.13360897160999,17.184020762209958,235.87551031314874,5.676664072263605,8.027458217870212,4.875122605377303,119.56150762222312,26.402469895885325,171.59722108380348,21.637664181133808,68.00169247203107,28.781859961480016,88.29132458628716,12.260911449321899,30.273908282682143
