country,AT,BA,BE,BG,CH,CZ,DE,DK,EE,ES,FI,FR,GB,GR,HR,HU,IE,IT,LT,LU,LV,NL,NO,PL,PT,RO,RS,SE,SI,SK,AT,BA,BE,BG,CH,CZ,DE,DK,EE,ES,FI,FR,GB,GR,HR,HU,IE,IT,LT,LU,LV,NL,NO,PL,PT,RO,RS,SE,SI,SK,AT,BA,BE,BG,CH,CZ,DE,DK,EE,ES,FI,FR,GB,GR,HR,HU,IE,IT,LT,LU,LV,NL,NO,PL,PT,RO,RS,SE,SI,SK,AT,BA,BE,BG,CH,CZ,DE,DK,EE,ES,FI,FR,GB,GR,HR,HU,IE,IT,LT,LU,LV,NL,NO,PL,PT,RO,RS,SE,SI,SK,AT,BA,BE,BG,CH,CZ,DE,DK,EE,ES,FI,FR,GB,GR,HR,HU,IE,IT,LT,LU,LV,NL,NO,PL,PT,RO,RS,SE,SI,SK,AT,BA,BE,BG,CH,CZ,DE,DK,EE,ES,FI,FR,GB,GR,HR,HU,IE,IT,LT,LU,LV,NL,NO,PL,PT,RO,RS,SE,SI,SK,AT,BA,BE,BG,CH,CZ,DE,DK,EE,ES,FI,FR,GB,GR,HR,HU,IE,IT,LT,LU,LV,NL,NO,PL,PT,RO,RS,SE,SI,SK
year,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2045,2045,2045,2045,2045,2045,2045,2045,2045,2045,2045,2045,2045,2045,2045,2045,2045,2045,2045,2045,2045,2045,2045,2045,2045,2045,2045,2045,2045,2045,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050
battery,14.2823137836,29.0524975597,14.3844055119,27.7638228337,13.1979732951,14.623864072,14.165522696,14.7641965307,18.2212777991,15.7381377467,22.4315046839,14.6347322076,14.3934685593,20.5170006356,14.0771565834,14.7210773746,14.3896236265,15.7480310168,14.2438448988,14.1461437895,18.202276148,14.270790641,13.7277297702,21.1761620186,14.9599706655,26.9212798149,28.5523740788,14.1721429655,13.9851133862,13.4652901362,20.1661053615,55.1327976829,110.265760443,50.7977094584,22.1195248025,28.8533163514,35.9499571956,30.2339057145,25.6710891,29.2015333549,61.0298996014,131.129023331,819.533119526,21.8344528166,55.4836818737,51.7174049147,35.6542151517,27.6403396769,24.9179318738,36.6809232681,25.1794887871,22.9554230397,23.5615801472,25.4355367655,20.9571447821,48.2120182512,52.8968816904,27.7978655037,20.9230967079,25.9997207288,128.098135721,345.21681607,208.783670922,550.054420061,95.4791159334,77.5925270636,544.422666385,185.960618952,31.2194382762,75294.8825756,203.654963489,28283.3528232,9742.1282593,10253.3927845,1237.74031994,315.646452904,1082.9837674,6931.08984033,29.8453296937,2713.94259591,29.9844929464,441.94925054,45.6244874476,48.1593859845,1510.41245574,263.587029952,363.506364696,61.7077919824,92.8943640237,62.1129807908,20124.346374,1686.54016538,32788.0545648,39520.096553,812.082152812,21828.947486,72911.4408766,1735.68230866,281.830298966,451558.500175,1351.49276021,122945.653535,47289.4846569,89811.5522178,39303.5456184,19691.0643191,10399.3082561,461872.354599,219.945232264,13586.3357785,238.411548412,26915.6872919,45.626721293,29130.8496916,27496.9367063,14602.8045907,8018.60440469,99.7723079734,711.8613847,11526.5676745,69026.602336,2929.60571646,93941.456596,46764.473666,30434.5646059,23581.8860741,266613.850998,4875.64531766,2024.50522896,500019.083427,11479.7350322,159151.081445,153864.238703,89812.6246991,56771.1872607,32633.5954247,34955.0005153,500192.549398,992.873558043,33386.3001672,811.241799449,76495.5869735,52.0974961324,68762.2763531,29822.2899585,39231.0508205,25455.5472913,188.45876459,4625.19195038,16205.8145122,93166.9411752,11948.1971313,113108.365492,74669.7668682,30434.75171,45622.1763411,390594.438117,6608.13624672,3273.62064941,510809.598314,15564.415346,275408.052837,183760.232172,105357.545755,66131.1836393,42895.8934689,43740.1904912,615103.927773,2422.56662846,35713.9241588,998.332434293,92199.712044,55.5291865531,83247.1699868,29823.2805331,39231.4835153,33554.8253941,188.498022027,4629.69225579,31088.506992,107052.986081,12879.3913969,134519.62786,75406.0701455,30435.9329056,68098.7386524,526575.417269,7958.18591102,4120.07494029,551174.049505,19639.9181015,363358.325367,226174.203203,114206.409044,82900.1011431,72281.8281827,52439.1743172,704665.130115,2596.54915698,40770.1084228,1722.82559308,117458.956917,55.5318850616,117878.40632,29824.3303535,47063.9010254,42573.375241,655.952513615,10064.6727779,32556.7988246
H2,39.1600117721,39.6453199951,39.5157770647,38.7085700534,37.9269615971,39.3046553688,587.8284239297,507.0841899736,39.2021328741,693.9878948872,40.0247834453,40.3618665441,534.4557564411,472.0774336919,38.968215104,40.1446399705,39.2428937408,36.9404323008,39.1532271253,39.6306287106,39.3496446554,495.0055719642,38.5807488717,499.69765495710004,490.9606921836,35.8436284464,38.9188833908,39.6233828085,39.5005902009,38.4043981606,49.7181225979,51.4392916239,50.9238303672,48.7475164962,51.4530254766,49.9142308814,808.9687318195,689.1223578871001,50.8922150207,947.1966761118,51.0118654914,64.7508692698,798.5809665751,664.0992987229,50.8809264553,48.6599706084,51.0920360063,54.0374043986,50.497684015,51.6779638461,51.0684649913,672.0730833875,51.7445414001,716.1791596116,648.1653865529,51.9717028731,48.8358151348,52.0133542174,51.0905740772,51.4689502063,56.4252164501,56.5566641293,57.1643882128,55.0583525519,56.2284250857,55.7557847731,851.7032243845,772.0937483739001,56.8800005718,996.8176941438,56.9943468137,85.7568913032,807.5073386407,709.6478714969,56.645665335,58.2395140129,59.5926464092,54.4459301071,56.4512340629,58.5024791962,56.6825842114,732.4528220553,56.1687440173,728.3868743590999,726.3013249445,56.075508628,56.6937549919,57.2626341104,56.5075923158,56.5352272865,66.6401544728,62.6562379738,71.9664699348,64.2016194024,65.1097726683,64.2378978606,1061.4633082263,991.8173980512,73.1484900038,1267.5301938984999,74.3072684071,86.6038934654,1237.722841884,904.6523472829999,62.7267265987,63.1305550317,82.9715894527,71.3119384929,71.9281786669,71.5080379553,72.2261853107,1082.0607549443,58.3193912064,895.9521105215,1038.1667057117,60.6108136134,62.9873745498,64.8714091501,62.1377808811,63.0452353278,83.2137167534,75.1038990566,107.685969503,83.2575077729,80.9388274077,77.6611330084,2170.6738106033,1687.0533705664,110.275251441,7535.081284582599,118.381115324,120.74538173,178761.5790378138,3019.7435764879,74.9872024376,77.7491210491,151.302692729,110.249557545,110.471486883,97.0614446189,109.582455595,2949.7067115204,76.8454084422,1539.3261146577,2793.2313602029003,83.7345044492,76.1073524391,90.8396633656,77.2491550599,75.0737400872,83.2216581162,76.988887487,108.585731476,98.1081935656,82.5199324758,82.6146367661,3192.5225442734,89456.7617166302,111.747229126,234601.041138706,121.697767502,126.162430839,1204502.501082297,14450.685501353299,77.2460604268,77.8293060175,162.965449287,114.253535395,111.724108333,105.89202708,111.029610089,344087.87123832153,77.4945773251,2306.605894108,3698.6642356674997,85.4167371852,77.3936417416,92.3828807333,77.5146537587,77.9065828214,83.6595320769,77.8297117458,108.859818626,98.4825277478,82.5243578018,83.3166645359,693752.5737690753,387543.1996713915,112.003811718,408157.50289265864,122.107199394,126.183059716,2026809.2170014607,59206.492909274595,78.0035652501,78.1934671412,164.100072894,114.281867504,112.222547298,106.803804116,112.052051427,975054.9139151508,77.7547157456,32584.807538594097,3714.1428034181,86.5504154409,77.7847366062,92.5841339328,78.8463627385,78.8269896853
water tank,7297.9950032561,1551.5648514262,1467.2095007741,67.24316995712,6103.2871661401,42865.1419426017,74616.1580791553,70317.8653249224,32444.2664351563,19.74353272334,124600.10880082221,21851.3951699004,11639.699542896009,19.99346386898,2335.837803533,3859.096177446,1464.30298240106,20.030126320169998,48803.9228073285,1463.8772442646,16498.5765689159,4843.6994796796,4327.1312468739,209951.358808738,20.00521265883,16638.589920193,55449.022524848,30916.7348219034,2746.3799556448,7870.0027145923,8168.4226250163,1905.8312596482,1831.8059995844,70.0707001473,6111.6982137338,45753.2648017055,174909.9363269757,183805.40163363158,32506.4835459908,24.0891935064,124609.3700713052,63121.2951846718,33560.628904908095,23.8656874902,5537.3034404017,15407.659718105899,1831.4223500990001,23.8701363647,48805.878593009096,1829.2610127645,23693.3246291435,5877.1264481799,4873.6716604439,210050.74336529578,23.950557180799997,32332.452820671,55468.731314446,242257.9154669677,2852.6198669891,29277.597479600798,22146.660038582002,2012.5185450968,1949.0849641364998,70.497691614,10047.1492250617,76270.0112618124,401246.2042857468,517526.4986895513,32507.283487481298,24.464122332,124620.676570473,115061.8310199768,113067.0366859068,24.2764220512,7128.7642129253,36196.7083211734,1956.1068413809,24.295699178600003,48838.7353232809,1935.7864476924,23696.125261646,48071.1378159728,4920.581319795199,210062.064027883,24.312358440700002,68206.570284936,55470.202389464,242367.671446815,3815.4440332767,37547.429762047,90698.74633010119,2102.7623352721,2054.5379510734,71.2451740747,44233.801442478696,134279.5916470625,1968427.5108944995,1082226.1404665548,87460.7981105024,25.1975974533,321754.658533174,1229454.3335262924,320790.4274559655,24.960184529099998,18288.3012566666,63357.0356395715,2006.1484580035,24.8851144693,89031.1026835867,2038.2004012927998,53773.8780475477,318681.0494059159,9787.681425382,774139.4627784251,24.840115383,133670.855542876,66286.325243527,513330.5209860793,10037.1201330781,83989.06763100221,473640.0299199404,2105.7785082168,2074.2796627174002,71.6434367935,229947.0074107088,359270.71220122604,8125128.204234804,2600065.7943855133,260784.3107120889,30.501489921199997,979063.472236013,2658492.8707614862,594116.3195488884,28.9809570331,27454.3299587611,140800.0007491904,2157.0694868019,25.3357894612,286482.0071328487,2047.6242288501999,159298.3022970929,713676.1144593024,59705.6871627686,2226325.4183365144,28.2567064225,277811.907232291,77284.74166702,1886441.12773225,13440.7081920058,158571.5566415591,568265.4137056962,2363.56275662,2311.0042323723,72.205633259,229957.829706774,390215.8155064069,9347364.50585213,2600326.2107125213,319382.0719542387,31.368583781199998,1158245.8042215956,3960360.4091684357,733687.924886598,29.7756317474,90687.2880816767,214841.1186530097,2353.911589138,26.1860498572,327001.4941110126,2290.3020862671,213804.43856852732,749301.8338396391,73130.410725448,2465566.2400457067,29.0235928238,722278.267374893,299606.29105633503,1886823.7785694257,37792.7596816085,294641.8139667943,568269.7312508376,2368.1810433081,2315.4539530688003,72.244516513,229960.3502830563,637940.2891924309,9347388.595346542,2600339.582731051,319388.2900237692,31.4403152844,1371753.5353451115,3960371.505984744,1160421.4889706497,29.846672557599998,146626.67936326918,293388.9222610463,2357.7814164044003,26.2436214604,342643.5714125197,2294.6854016618,222640.4205711892,749314.3177811186,73130.54937346629,2564704.094816236,29.1077903678,1315047.851526273,513970.092794314,1886827.2787126955,39077.4327259157,476049.8259022174
