scenario,go,go,go,go,go,go,go,wait,wait,wait,wait,wait,wait,wait
line_volume_limit,opt,opt,opt,opt,opt,opt,opt,opt,opt,opt,opt,opt,opt,opt
year,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050
group,,,,,,,,,,,,,,
offwind,1.582,2.64,2.499,2.721,2.048,1.802,1.963,1.582,3.728,1.92,2.553,2.423,1.647,1.842
onwind,0.103,0.319,0.89,0.398,0.077,0.065,0.091,0.103,0.673,0.825,0.496,0.273,0.092,0.11
ror,0.003,0.003,0.011,0.033,0.04,0.031,0.05,0.003,0.004,0.009,0.043,0.045,0.063,0.071
solar,0.005,0.006,0.213,0.019,0.03,0.06,0.127,0.005,0.011,0.144,0.025,0.037,0.054,0.124
